#PATH-POINTS-START Path
122.606,59.767,120,0
120.608,59.693,120
118.609,59.619,120
116.61,59.545,120
114.612,59.471,120
112.613,59.397,120
110.615,59.323,120
108.616,59.249,120
106.617,59.175,120
104.619,59.101,120
102.62,59.027,120
100.621,58.953,120
98.623,58.879,120
96.624,58.805,120
94.625,58.731,120
92.627,58.657,120
90.628,58.583,120
88.63,58.509,120
86.631,58.435,120
84.632,58.361,120
82.634,58.287,120
80.635,58.213,120
78.636,58.139,120
76.638,58.065,120
74.639,57.991,120
72.641,57.917,120
70.642,57.843,120
68.643,57.769,120
66.645,57.694,120
64.646,57.62,120
62.647,57.546,120
60.649,57.472,120
58.65,57.398,120
56.652,57.324,120,10
55.152,58.399,120
53.843,59.911,120
52.534,61.423,120
51.225,62.936,120
49.916,64.448,120
48.607,65.96,120
47.298,67.472,120
45.989,68.984,120
44.68,70.496,120
43.371,72.008,120
42.062,73.52,120
40.753,75.033,120
39.444,76.545,120
38.135,78.057,120
36.826,79.569,120
35.517,81.081,120
34.208,82.593,120
32.899,84.105,120
31.59,85.617,120
30.281,87.13,120
28.972,88.642,120
27.663,90.154,120
26.354,91.666,120
25.045,93.178,120
23.736,94.69,120
22.427,96.202,120
21.118,97.714,120
19.809,99.226,120
18.5,100.739,120
17.191,102.251,120
15.882,103.763,120
14.573,105.275,120
13.264,106.787,120
11.955,108.299,120
10.646,109.811,120
9.337,111.323,120
8.811,111.713,120,0
10.21,110.3,120
11.93,109.286,120
13.775,108.517,120
15.68,107.909,120
17.618,107.417,120
19.576,107.007,120
21.545,106.661,120
23.524,106.37,120
25.508,106.12,120
27.497,105.909,120
29.489,105.728,120
31.483,105.574,120
33.479,105.446,120
35.476,105.339,120
37.474,105.251,120
39.473,105.18,120
41.472,105.126,120
43.471,105.087,120
45.471,105.061,120
47.471,105.049,120
49.471,105.048,120
51.471,105.057,120
53.471,105.078,120
55.471,105.108,120
57.47,105.147,120
59.47,105.195,120
61.469,105.251,120
63.468,105.316,120
65.467,105.388,120
67.465,105.467,120
69.463,105.553,120
71.461,105.646,120
73.459,105.746,120
75.456,105.852,120
77.453,105.965,120
79.449,106.083,120
81.445,106.207,120
83.441,106.337,120
85.436,106.473,120
87.431,106.613,120
89.426,106.759,120
91.42,106.91,120
93.414,107.067,120
95.408,107.228,120
97.401,107.395,120
99.393,107.567,120
101.386,107.743,120
103.377,107.925,120
105.369,108.111,120
107.359,108.302,120
109.35,108.498,120
111.34,108.699,120
113.329,108.905,120
115.318,109.116,120
117.306,109.331,120
119.294,109.552,120
121.281,109.778,120
123.268,110.009,120
125.254,110.245,120
127.239,110.487,120
129.224,110.734,120
131.208,110.987,120
133.191,111.246,120
135.173,111.511,120
137.155,111.783,120
139.135,112.061,120
141.115,112.346,120
143.093,112.638,120
145.071,112.939,120
147.047,113.247,120
149.022,113.564,120
150.995,113.891,120
152.966,114.23,120
154.935,114.58,120
156.902,114.942,120
158.865,115.322,120
160.826,115.717,120
162.782,116.135,120
164.732,116.577,120
166.675,117.053,120
168.606,117.573,120
169.922,118.072,120,0
167.923,118.135,120
165.924,118.198,120
163.925,118.261,120
161.926,118.324,120
159.927,118.387,120
157.928,118.45,120
155.929,118.513,120
153.93,118.576,120
151.931,118.639,120
149.932,118.702,120
147.933,118.765,120
145.934,118.828,120
143.935,118.891,120
141.936,118.953,120
139.937,119.016,120
137.938,119.079,120
135.939,119.142,120
133.94,119.205,120
131.941,119.268,120
129.942,119.331,120
127.943,119.394,120
125.944,119.457,120
123.945,119.52,120
121.946,119.583,120
119.947,119.646,120
